latitude,longitude,blight_count,housing_quality_score,cluster
0.0,0.0,18,10,2
30.336,-91.134804,1,95,0
30.342085,-91.132805,1,95,0
30.343891,-91.130852,1,95,0
30.344173,-91.128525,1,95,0
30.344225,-91.015152,2,90,3
30.344524,-91.129318,1,95,0
30.344542,-91.131393,1,95,0
30.344786,-91.127884,1,95,0
30.344835,-91.125374,1,95,0
30.345116,-91.125839,1,95,0
30.345226,-91.125969,3,85,3
30.345274,-91.13237,1,95,0
30.345293,-91.130272,1,95,0
30.345316,-91.031219,1,95,0
30.34618,-91.060577,1,95,0
30.346601,-91.046379,1,95,0
30.34687,-91.119576,1,95,0
30.347076,-91.005402,1,95,0
30.347294,-91.11972,2,90,3
30.347296,-91.119728,1,95,0
30.347519,-90.993828,1,95,0
30.34753,-90.993919,1,95,0
30.347586,-91.134918,2,90,3
30.347599,-91.12278,1,95,0
30.348137,-91.122246,2,90,3
30.34856,-90.95031,1,95,0
30.348589,-91.121803,1,95,0
30.348639,-90.994698,1,95,0
30.348703,-91.132408,1,95,0
30.348759,-91.122543,1,95,0
30.348818,-91.124611,1,95,0
30.348839,-91.124603,1,95,0
30.348995,-90.994949,1,95,0
30.34901,-91.132683,2,90,3
30.349016,-91.131973,2,90,3
30.349035,-91.133911,3,85,3
30.349108,-91.132835,3,85,3
30.349253,-91.13298,1,95,0
30.349283,-91.132248,1,95,0
30.349386,-91.133118,1,95,0
30.349447,-91.132347,1,95,0
30.349529,-91.133232,1,95,0
30.34967,-91.133354,1,95,0
30.349804,-90.995293,1,95,0
30.349829,-91.132774,1,95,0
30.350018,-91.12429,1,95,0
30.35004,-91.12426,1,95,0
30.350147,-91.132988,2,90,3
30.350245,-91.13311,1,95,0
30.350779,-91.121132,1,95,0
30.350792,-91.121178,2,90,3
30.350845,-91.122337,1,95,0
30.350853,-91.120537,1,95,0
30.350857,-91.121277,1,95,0
30.35087,-91.13195,1,95,0
30.350901,-91.131989,1,95,0
30.350952,-91.132011,1,95,0
30.350956,-91.11937,1,95,0
30.351273,-91.122437,1,95,0
30.35128,-91.120628,1,95,0
30.351328,-91.119881,1,95,0
30.351374,-91.123116,1,95,0
30.351467,-91.132523,1,95,0
30.351511,-91.119324,2,90,3
30.351591,-91.119492,1,95,0
30.351658,-91.132805,2,90,3
30.35166,-91.122635,7,65,1
30.3517,-90.992531,1,95,0
30.351736,-91.120811,2,90,3
30.351742,-91.132019,1,95,0
30.351746,-91.122719,1,95,0
30.351767,-91.122849,1,95,0
30.35178,-91.132973,1,95,0
30.351782,-91.122879,1,95,0
30.351795,-90.990715,1,95,0
30.351902,-91.078232,1,95,0
30.351925,-91.121132,2,90,3
30.352045,-91.132744,1,95,0
30.352129,-91.118591,1,95,0
30.352171,-91.133713,1,95,0
30.352203,-91.132996,3,85,3
30.352211,-91.122696,1,95,0
30.352222,-91.118347,1,95,0
30.352238,-91.134048,1,95,0
30.352272,-91.118317,1,95,0
30.352285,-91.131973,1,95,0
30.352407,-91.118629,1,95,0
30.352442,-91.124763,1,95,0
30.352448,-91.132744,1,95,0
30.352512,-91.12207,1,95,0
30.352518,-91.120743,1,95,0
30.352596,-91.1222,1,95,0
30.352606,-91.130821,1,95,0
30.35265,-91.118217,1,95,0
30.352676,-91.132156,1,95,0
30.352688,-91.131363,1,95,0
30.352718,-91.131775,1,95,0
30.352724,-90.995148,1,95,0
30.352739,-91.125137,1,95,0
30.352789,-90.960373,1,95,0
30.352793,-91.125244,1,95,0
30.352798,-91.124786,1,95,0
30.352829,-91.118576,1,95,0
30.352882,-91.125328,1,95,0
30.352909,-91.118774,1,95,0
30.352964,-91.118889,1,95,0
30.352968,-91.122147,1,95,0
30.353025,-91.131645,2,90,3
30.353083,-91.132492,2,90,3
30.353086,-91.135506,1,95,0
30.353098,-91.131889,1,95,0
30.35318,-91.132065,1,95,0
30.353231,-91.121429,2,90,3
30.353249,-91.135857,2,90,3
30.353336,-91.13472,1,95,0
30.35346,-91.122894,1,95,0
30.353519,-91.126709,2,90,3
30.353542,-91.134377,1,95,0
30.353575,-91.13208,2,90,3
30.353622,-91.126465,1,95,0
30.353716,-91.125572,3,85,3
30.353722,-91.133415,2,90,3
30.353746,-91.131111,2,90,3
30.35375,-91.136925,1,95,0
30.353767,-91.125687,2,90,3
30.353807,-91.133568,1,95,0
30.353828,-91.131294,2,90,3
30.353832,-91.137146,1,95,0
30.353851,-91.136612,1,95,0
30.353907,-91.131447,1,95,0
30.353971,-91.117661,1,95,0
30.354029,-91.1362,1,95,0
30.354036,-91.069778,2,90,3
30.354137,-91.134415,1,95,0
30.3543,-91.134766,1,95,0
30.354332,-91.134094,1,95,0
30.354408,-91.134254,1,95,0
30.354506,-91.123268,1,95,0
30.354507,-91.122833,1,95,0
30.354591,-91.122002,1,95,0
30.354639,-91.136154,1,95,0
30.354689,-90.958923,1,95,0
30.354733,-91.123108,1,95,0
30.354738,-91.122192,1,95,0
30.35478,-91.135765,1,95,0
30.354811,-91.122551,1,95,0
30.354843,-91.133774,1,95,0
30.354845,-91.122383,1,95,0
30.354847,-91.122215,1,95,0
30.354872,-91.124657,1,95,0
30.355122,-91.122719,2,90,3
30.355171,-91.12468,2,90,3
30.355173,-91.133301,1,95,0
30.355175,-91.133072,1,95,0
30.355196,-91.12751,1,95,0
30.355223,-91.123901,1,95,0
30.355247,-91.118118,1,95,0
30.355261,-91.123512,1,95,0
30.355286,-91.12706,1,95,0
30.35531,-91.132301,1,95,0
30.355356,-91.138107,1,95,0
30.355368,-91.139297,1,95,0
30.355423,-91.137337,1,95,0
