id,statusdesc,createdate,closeddate,lastaction,parenttype,typename,comments,streetnum,streetname,streetaddress,crossname,cityname,department,division,latitude,longitude,geolocation,typeid,parentid,deptdivid,deptdiv,status,dataset_type
1164663,OPEN,2025-09-19T22:33:00.000,,2025-09-19T22:33:00.000,BLIGHTED PROPERTIES,TALL GRASS,TALL GRASS GROWING OVER MY FENCE. EFFECTING MY SIDE OF THE HOUSE WHERE THERE IS A AIR CONDITIONER. WATER SITTING THERE ALSO MAKING IT HARD TO GET THE GRASS CUT IN THAT AREA.,1799,TALLWOOD DR,1799 TALLWOOD DR,,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,30.443026,-91.026817,"
,  
(30.443026, -91.026817)",172989,172971,59,DOD - BLIGHT ENFORCEMENT,0,blight
1164614,OPEN,2025-09-19T15:32:00.000,,2025-09-19T15:32:00.000,BLIGHTED PROPERTIES,TALL GRASS,CALLER STATED THAT TALL GRASS TO THE LEFT OF THIS ADDRESS NEED TO BE CUT.,,THOMAS H DELPIT DR,THOMAS H DELPIT DR,,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,30.437319,-91.180176,"
,  
(30.437319, -91.180176)",172989,172971,59,DOD - BLIGHT ENFORCEMENT,0,blight
1164601,OPEN,2025-09-19T15:12:00.000,,2025-09-19T15:12:00.000,BLIGHTED PROPERTIES,TALL GRASS,PLEASE CHECK TO SEE IF THE GRASS AT THIS ADDRESS IS OVERGROWN.,1799,TALLWOOD DR,1799 TALLWOOD DR,,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,30.443037,-91.026817,"
,  
(30.443037, -91.026817)",172989,172971,59,DOD - BLIGHT ENFORCEMENT,0,blight
1164599,OPEN,2025-09-19T15:08:00.000,,2025-09-19T15:08:00.000,BLIGHTED PROPERTIES,"JUNK, TRASH, OR DEBRIS ON PRIVATE PROPERTY","JUNK, TRASH, DEBRIS",1799,TALLWOOD DR,1799 TALLWOOD DR,,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,30.443037,-91.026817,"
,  
(30.443037, -91.026817)",172985,172971,59,DOD - BLIGHT ENFORCEMENT,0,blight
1164591,OPEN,2025-09-19T14:48:00.000,,2025-09-19T14:48:00.000,BLIGHTED PROPERTIES,TALL GRASS,VACANT HOME TALL GRASS NEEDS TO BE CUT IN THE FRONT AND BACK.,2153,YAZOO ST,2153 YAZOO ST,,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,30.428658,-91.145004,"
,  
(30.428658, -91.145004)",172989,172971,59,DOD - BLIGHT ENFORCEMENT,0,blight
1164587,OPEN,2025-09-19T14:40:00.000,,2025-09-19T14:40:00.000,BLIGHTED PROPERTIES,TALL GRASS,,1799,TALLWOOD DR,1799 TALLWOOD DR,,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,30.443037,-91.026817,"
,  
(30.443037, -91.026817)",172989,172971,59,DOD - BLIGHT ENFORCEMENT,0,blight
1164586,OPEN,2025-09-19T14:38:00.000,,2025-09-19T14:38:00.000,BLIGHTED PROPERTIES,"JUNK, INOPERABLE, OR ABANDONED VEHICLE","SEE PHOTO ATTACHED  ISSUE DESCRIPTION: THERE IS A 1999 DODGE RAM 1500 PURPLE TRUCK THAT IS PARKED ON THE PROPERTY THAT APPEARS INOPERABLE. AND HAS BEEN THERE FOR 18+ MONTHS.   VEHICLE APPEARS ABANDONED AND IS FULLY EXPOSED TO PUBLIC VIEW IT IS CONTRIBUTING TO NEIGHBORHOOD BLIGHT AND LOWERING SURROUNDING PROPERTY VALUES  LOCATION: PURPLE 2 DOOR TRUCK IN THE PARKING LOT NEXT TO LARGE BUSINESS SIGNAGE THAT IS REVERSED INTO THE PARKING SPACE.  ACTION REQUESTED: PLEASE HAVE CODE ENFORCEMENT INSPECT THE VEHICLE AND ENFORCE REMOVAL, REPAIR, OR PROPER STORAGE OUT OF PUBLIC VIEW IN ACCORDANCE WITH CITY ORDINANCES.  ADDITIONAL CONCERNS: THE PRESENCE OF THIS JUNK VEHICLE CREATES AN EYESORE AND NEGATIVELY IMPACTS THE COMMUNITY AND INVITES CRIME.",9212,GREENWELL SPRINGS RD,9212 GREENWELL SPRINGS RD,,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,30.483841,-91.087196,"
,  
(30.483841, -91.087196)",172986,172971,59,DOD - BLIGHT ENFORCEMENT,0,blight
1164582,OPEN,2025-09-19T14:25:00.000,,2025-09-19T14:25:00.000,BLIGHTED PROPERTIES,"JUNK, TRASH, OR DEBRIS ON PRIVATE PROPERTY",,1799,TALLWOOD DR,1799 TALLWOOD DR,,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,30.443037,-91.026817,"
,  
(30.443037, -91.026817)",172985,172971,59,DOD - BLIGHT ENFORCEMENT,0,blight
1164574,OPEN,2025-09-19T13:52:00.000,,2025-09-19T13:52:00.000,BLIGHTED PROPERTIES,TALL GRASS,PROPERTY BEHIND THE HOME IS OVERGROWN WITH GRASS AND HAS JUNK TRASH AND DEBRIS ON THE PROPERTY,5100,OSBORNE AVE,5100 OSBORNE AVE,,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,30.472717,-91.138504,"
,  
(30.472717, -91.138504)",172989,172971,59,DOD - BLIGHT ENFORCEMENT,0,blight
1164573,OPEN,2025-09-19T13:50:00.000,,2025-09-19T13:50:00.000,BLIGHTED PROPERTIES,"JUNK, TRASH, OR DEBRIS ON PRIVATE PROPERTY","VACANT HOME HAS JUNK, TRASH AND DEBRIS ON THE PROPERTY AND THE GRASS IS OVERGROWN",5105,OSBORNE AVE,5105 OSBORNE AVE,,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,30.472986,-91.139267,"
,  
(30.472986, -91.139267)",172985,172971,59,DOD - BLIGHT ENFORCEMENT,0,blight
1164563,OPEN,2025-09-19T13:32:00.000,,2025-09-19T13:32:00.000,BLIGHTED PROPERTIES,TALL GRASS,PROPERTY TO THE RIGHT OF THE HOME IS OVERGROWN WITH GRASS,768,S BURGESS DR,768 S BURGESS DR,,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,30.450886,-91.05954,"
,  
(30.450886, -91.05954)",172989,172971,59,DOD - BLIGHT ENFORCEMENT,0,blight
1164559,OPEN,2025-09-19T13:14:00.000,,2025-09-19T13:14:00.000,BLIGHTED PROPERTIES,TALL GRASS,VACANT LOT NEXT DOOR TO LITTLE CEASERS IS OVERGROWN WITH GRASS AND DEBRIS.,9065,PERKINS RD,9065 PERKINS RD,,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,30.384159,-91.102203,"
,  
(30.384159, -91.102203)",172989,172971,59,DOD - BLIGHT ENFORCEMENT,0,blight
1164555,OPEN,2025-09-19T13:07:00.000,,2025-09-19T13:07:00.000,BLIGHTED PROPERTIES,"JUNK, TRASH, OR DEBRIS ON PRIVATE PROPERTY","CALLER STATED THAT THE PROPERTY AT THE CORNER OF S FOSTER AND NORTH BLVD IS ABANDONED AND HAS JUNK, TRASH AND DEBRIS.",,NORTH BLVD,NORTH BLVD,S FOSTER DR,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,30.448704,-91.138916,"
,  
(30.448704, -91.138916)",172985,172971,59,DOD - BLIGHT ENFORCEMENT,0,blight
1164546,OPEN,2025-09-19T12:43:00.000,,2025-09-19T12:43:00.000,BLIGHTED PROPERTIES,TALL GRASS,CALLER STATED THAT THE HOME AT 6057 AND 6033 ST KATHERINE ARE OVERGROWN WITH GRASS CAUSING RODENTS TO INFEST HER HOME.,6033,SAINT KATHERINE AVE,6033 SAINT KATHERINE AVE,,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,30.499157,-91.130753,"
,  
(30.499157, -91.130753)",172989,172971,59,DOD - BLIGHT ENFORCEMENT,0,blight
1164537,OPEN,2025-09-19T12:17:00.000,,2025-09-19T12:17:00.000,BLIGHTED PROPERTIES,TALL GRASS,VACANT LOT BEHIND THE HOME IS OVERGROWN WITH GRASS NEAR THE CORNER OF WILLIANSON AND GREENWELL SPRINGS RD,6209,BLACKBERRY ST,6209 BLACKBERRY ST,,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,30.468193,-91.12748,"
,  
(30.468193, -91.12748)",172989,172971,59,DOD - BLIGHT ENFORCEMENT,0,blight
1164505,OPEN,2025-09-19T11:14:00.000,,2025-09-19T11:14:00.000,BLIGHTED PROPERTIES,"JUNK, INOPERABLE, OR ABANDONED VEHICLE",CALLER STATED THAT ABANDONED VEHICLE IN THE YARD NEEDS TO BE REMOVED.,9177,BAKER DR,9177 BAKER DR,,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,30.413776,-91.085228,"
,  
(30.413776, -91.085228)",172986,172971,59,DOD - BLIGHT ENFORCEMENT,0,blight
1164501,OPEN,2025-09-19T11:12:00.000,,2025-09-19T11:12:00.000,BLIGHTED PROPERTIES,TALL GRASS,CALLER STATED THAT TALL GRASS AND TREES ON THIS LOTS NEEDS TO BE CUT. THE TREES CAUSING DAMAGE TO THE FENCE.,136,N 26TH ST,136 N 26TH ST,,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,30.448761,-91.161774,"
,  
(30.448761, -91.161774)",172989,172971,59,DOD - BLIGHT ENFORCEMENT,0,blight
1164478,OPEN,2025-09-19T10:33:00.000,,2025-09-19T10:33:00.000,BLIGHTED PROPERTIES,TALL GRASS,OCCUPIED PROPERTY FRONT AND BACK YARD IS OVERGROWN NEED TO BE CUT AND TWO INOPERABLE VEHICLES IN THE BACK OF THE HOME,4133,THAMES DR,4133 THAMES DR,,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,30.489174,-91.044418,"
,  
(30.489174, -91.044418)",172989,172971,59,DOD - BLIGHT ENFORCEMENT,0,blight
1164475,OPEN,2025-09-19T10:32:00.000,,2025-09-19T10:32:00.000,BLIGHTED PROPERTIES,"JUNK, TRASH, OR DEBRIS ON PRIVATE PROPERTY",TONS OF TRASH IN THE BACK OF THE LOT. IS IS BEING PUT THERE BY THE PEOPLE THAT LIVE ON OKLAHOMA HOUSE ACROSS MARGARET STREET.,190,ELLWOOD ST,190 ELLWOOD ST,,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,30.434395,-91.185112,"
,  
(30.434395, -91.185112)",172985,172971,59,DOD - BLIGHT ENFORCEMENT,0,blight
1164464,OPEN,2025-09-19T10:13:00.000,,2025-09-19T10:13:00.000,BLIGHTED PROPERTIES,TALL GRASS,STATED THAT THE VACANT LOT BEHIND THE HOME IS OVERGROWN WITH GRASS. 2643 CHOCTAW DR,2643,CHOCTAW DR,2643 CHOCTAW DR,,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,30.470232,-91.161476,"
,  
(30.470232, -91.161476)",172989,172971,59,DOD - BLIGHT ENFORCEMENT,0,blight
1164462,OPEN,2025-09-19T09:57:00.000,,2025-09-19T09:57:00.000,BLIGHTED PROPERTIES,TALL GRASS,CALLER STATED THAT TALL GRASS AT THIS LOCATION NEEDS TO BE CUT.  THE FRONT YARD BE CUT BUT THE BACKYARD DONT.,10275,AVENUE I,10275 AVENUE I,,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,30.537437,-91.198219,"
,  
(30.537437, -91.198219)",172989,172971,59,DOD - BLIGHT ENFORCEMENT,0,blight
1164413,OPEN,2025-09-19T08:23:00.000,,2025-09-19T08:23:00.000,BLIGHTED PROPERTIES,TALL GRASS,VACANT LOT  LOCATED TO LEFT 3145 AMARILLO ST OVERGROWN GRASS NEED TO BE CUT,3174,GREENWELL ST,3174 GREENWELL ST,AMARILLO ST,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,30.501177,-91.158287,"
,  
(30.501177, -91.158287)",172989,172971,59,DOD - BLIGHT ENFORCEMENT,0,blight
1164410,OPEN,2025-09-19T08:14:00.000,,2025-09-19T08:14:00.000,BLIGHTED PROPERTIES,"JUNK, TRASH, OR DEBRIS ON PRIVATE PROPERTY","CALLER STATED THAT JUNK,TRASH AND OTHER DEBRIS NEEDS TO BE PICKED UP AT THIS LOCATION.",200,W POLK ST,200 W POLK ST,,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,30.426384,-91.183594,"
,  
(30.426384, -91.183594)",172985,172971,59,DOD - BLIGHT ENFORCEMENT,0,blight
1164373,CLOSED,2025-09-18T20:05:00.000,2025-09-19T07:27:00.000,2025-09-19T07:27:00.000,BLIGHTED PROPERTIES,PROPERTY NEEDS TO BE CONDEMNED OR TORN DOWN,"REQUEST:  PLACE HOUSE  GARAGE  ON CONDEMN LIST THEN TEAR IT DOWN.  ISSUE:  GARAGE ROOF COLLAPSED AND IS CAUSING SAFETY HAZARD.  HOUSE/GARAGE LOCATION: - 3761 NORTH STREET, BATON ROUGE, LA 70802 - PARCEL ID:  475521 - LOT:  2+ - BLOCK:  29  CONTACT: - VERONICA E. SMITH - XXX-XXX-XXXX - LAGRITS21@YAHOO.COM AND LAGRITS21@OUTLOOK.COM",3761,NORTH ST,3761 NORTH ST,,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,30.453762,-91.152184,"
,  
(30.453762, -91.152184)",172988,172971,59,DOD - BLIGHT ENFORCEMENT,1,blight
1164368,OPEN,2025-09-18T19:00:00.000,,2025-09-18T19:00:00.000,BLIGHTED PROPERTIES,TALL GRASS,"TWO MONTHS, STILL NO ACTION.  THE GRASS AND TREE GROWTH IS COMPLETELY OUT OF CONTROL AND GROWING OVER MY FENCE ON TO MY PROPERTY.  PLEASE SEND SOMEONE OUT TAKE CARE OF THIS ISSUE.    JAMES WESLEY, JR 6847 OAKSIDE DRIVE",6855,OAKSIDE DR,6855 OAKSIDE DR,,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,30.513153,-91.117149,"
,  
(30.513153, -91.117149)",172989,172971,59,DOD - BLIGHT ENFORCEMENT,0,blight
1164307,CLOSED,2025-09-18T15:37:00.000,2025-09-19T07:17:00.000,2025-09-19T07:17:00.000,BLIGHTED PROPERTIES,PROPERTY NEEDS TO BE CONDEMNED OR TORN DOWN,CALLER STATED THAT THIS HOUSE NEEDS TO B E TORN DOWN.,2851,DAYTON ST,2851 DAYTON ST,,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,30.488443,-91.161087,"
,  
(30.488443, -91.161087)",172988,172971,59,DOD - BLIGHT ENFORCEMENT,1,blight
1164306,CLOSED,2025-09-18T15:36:00.000,2025-09-19T07:17:00.000,2025-09-19T07:17:00.000,BLIGHTED PROPERTIES,PROPERTY NEEDS TO BE CONDEMNED OR TORN DOWN,CALLED STATED THAT THIS HOUSE NEEDS TO BE TORN DOWN.,2815,DAYTON ST,2815 DAYTON ST,,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,30.488365,-91.161415,"
,  
(30.488365, -91.161415)",172988,172971,59,DOD - BLIGHT ENFORCEMENT,1,blight
1164283,OPEN,2025-09-18T14:44:00.000,,2025-09-18T14:44:00.000,BLIGHTED PROPERTIES,"JUNK, INOPERABLE, OR ABANDONED VEHICLE",CARS ON THE PROPERTY,9229,BARONNE DR,9229 BARONNE DR,,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,30.365597,-91.059784,"
,  
(30.365597, -91.059784)",172986,172971,59,DOD - BLIGHT ENFORCEMENT,0,blight
1164282,IN PROGRESS,2025-09-18T14:41:00.000,,2025-09-18T15:53:00.000,BLIGHTED PROPERTIES,TALL GRASS,OCCUPIED HOME WITH TALL GRASS NEEDS TO BE CUT.,13446,BUCKLEY AVE,13446 BUCKLEY AVE,,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,30.411226,-91.029076,"
,  
(30.411226, -91.029076)",172989,172971,59,DOD - BLIGHT ENFORCEMENT,3,blight
1164280,OPEN,2025-09-18T14:30:00.000,,2025-09-18T14:30:00.000,BLIGHTED PROPERTIES,TALL GRASS,CALLER STATED THAT TALL GRASS AT THIS ADDRESS NEEDS TO BE CUT.,1525,S FLANNERY RD,1525 S FLANNERY RD,,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,30.443853,-91.031525,"
,  
(30.443853, -91.031525)",172989,172971,59,DOD - BLIGHT ENFORCEMENT,0,blight
