GEOID,tract_name,council_district_id,council_district_name,assignment_method,notes
22033004201,"Census Tract 42.01, East Baton Rouge Parish, Louisiana",TBD,To Be Determined - Use Real Boundary Data,enhanced_template,"Real tract GEOID, placeholder council assignment - requires boundary overlay"
22033002300,"Census Tract 23, East Baton Rouge Parish, Louisiana",TBD,To Be Determined - Use Real Boundary Data,enhanced_template,"Real tract GEOID, placeholder council assignment - requires boundary overlay"
22033001104,"Census Tract 11.04, East Baton Rouge Parish, Louisiana",TBD,To Be Determined - Use Real Boundary Data,enhanced_template,"Real tract GEOID, placeholder council assignment - requires boundary overlay"
22033000300,"Census Tract 3, East Baton Rouge Parish, Louisiana",TBD,To Be Determined - Use Real Boundary Data,enhanced_template,"Real tract GEOID, placeholder council assignment - requires boundary overlay"
22033003809,"Census Tract 38.09, East Baton Rouge Parish, Louisiana",TBD,To Be Determined - Use Real Boundary Data,enhanced_template,"Real tract GEOID, placeholder council assignment - requires boundary overlay"
22033004018,"Census Tract 40.18, East Baton Rouge Parish, Louisiana",TBD,To Be Determined - Use Real Boundary Data,enhanced_template,"Real tract GEOID, placeholder council assignment - requires boundary overlay"
22033003912,"Census Tract 39.12, East Baton Rouge Parish, Louisiana",TBD,To Be Determined - Use Real Boundary Data,enhanced_template,"Real tract GEOID, placeholder council assignment - requires boundary overlay"
22033003604,"Census Tract 36.04, East Baton Rouge Parish, Louisiana",TBD,To Be Determined - Use Real Boundary Data,enhanced_template,"Real tract GEOID, placeholder council assignment - requires boundary overlay"
22033004900,"Census Tract 49, East Baton Rouge Parish, Louisiana",TBD,To Be Determined - Use Real Boundary Data,enhanced_template,"Real tract GEOID, placeholder council assignment - requires boundary overlay"
22033001900,"Census Tract 19, East Baton Rouge Parish, Louisiana",TBD,To Be Determined - Use Real Boundary Data,enhanced_template,"Real tract GEOID, placeholder council assignment - requires boundary overlay"
22033003505,"Census Tract 35.05, East Baton Rouge Parish, Louisiana",TBD,To Be Determined - Use Real Boundary Data,enhanced_template,"Real tract GEOID, placeholder council assignment - requires boundary overlay"
22033000701,"Census Tract 7.01, East Baton Rouge Parish, Louisiana",TBD,To Be Determined - Use Real Boundary Data,enhanced_template,"Real tract GEOID, placeholder council assignment - requires boundary overlay"
22033002601,"Census Tract 26.01, East Baton Rouge Parish, Louisiana",TBD,To Be Determined - Use Real Boundary Data,enhanced_template,"Real tract GEOID, placeholder council assignment - requires boundary overlay"
22033003910,"Census Tract 39.10, East Baton Rouge Parish, Louisiana",TBD,To Be Determined - Use Real Boundary Data,enhanced_template,"Real tract GEOID, placeholder council assignment - requires boundary overlay"
22033004019,"Census Tract 40.19, East Baton Rouge Parish, Louisiana",TBD,To Be Determined - Use Real Boundary Data,enhanced_template,"Real tract GEOID, placeholder council assignment - requires boundary overlay"
22033003807,"Census Tract 38.07, East Baton Rouge Parish, Louisiana",TBD,To Be Determined - Use Real Boundary Data,enhanced_template,"Real tract GEOID, placeholder council assignment - requires boundary overlay"
22033003806,"Census Tract 38.06, East Baton Rouge Parish, Louisiana",TBD,To Be Determined - Use Real Boundary Data,enhanced_template,"Real tract GEOID, placeholder council assignment - requires boundary overlay"
22033004507,"Census Tract 45.07, East Baton Rouge Parish, Louisiana",TBD,To Be Determined - Use Real Boundary Data,enhanced_template,"Real tract GEOID, placeholder council assignment - requires boundary overlay"
22033000100,"Census Tract 1, East Baton Rouge Parish, Louisiana",TBD,To Be Determined - Use Real Boundary Data,enhanced_template,"Real tract GEOID, placeholder council assignment - requires boundary overlay"
22033002500,"Census Tract 25, East Baton Rouge Parish, Louisiana",TBD,To Be Determined - Use Real Boundary Data,enhanced_template,"Real tract GEOID, placeholder council assignment - requires boundary overlay"
22033004029,"Census Tract 40.29, East Baton Rouge Parish, Louisiana",TBD,To Be Determined - Use Real Boundary Data,enhanced_template,"Real tract GEOID, placeholder council assignment - requires boundary overlay"
22033004028,"Census Tract 40.28, East Baton Rouge Parish, Louisiana",TBD,To Be Determined - Use Real Boundary Data,enhanced_template,"Real tract GEOID, placeholder council assignment - requires boundary overlay"
22033005000,"Census Tract 50, East Baton Rouge Parish, Louisiana",TBD,To Be Determined - Use Real Boundary Data,enhanced_template,"Real tract GEOID, placeholder council assignment - requires boundary overlay"
22033003808,"Census Tract 38.08, East Baton Rouge Parish, Louisiana",TBD,To Be Determined - Use Real Boundary Data,enhanced_template,"Real tract GEOID, placeholder council assignment - requires boundary overlay"
22033980000,"Census Tract 9800, East Baton Rouge Parish, Louisiana",TBD,To Be Determined - Use Real Boundary Data,enhanced_template,"Real tract GEOID, placeholder council assignment - requires boundary overlay"
22033002400,"Census Tract 24, East Baton Rouge Parish, Louisiana",TBD,To Be Determined - Use Real Boundary Data,enhanced_template,"Real tract GEOID, placeholder council assignment - requires boundary overlay"
22033003601,"Census Tract 36.01, East Baton Rouge Parish, Louisiana",TBD,To Be Determined - Use Real Boundary Data,enhanced_template,"Real tract GEOID, placeholder council assignment - requires boundary overlay"
22033003506,"Census Tract 35.06, East Baton Rouge Parish, Louisiana",TBD,To Be Determined - Use Real Boundary Data,enhanced_template,"Real tract GEOID, placeholder council assignment - requires boundary overlay"
22033003603,"Census Tract 36.03, East Baton Rouge Parish, Louisiana",TBD,To Be Determined - Use Real Boundary Data,enhanced_template,"Real tract GEOID, placeholder council assignment - requires boundary overlay"
22033003504,"Census Tract 35.04, East Baton Rouge Parish, Louisiana",TBD,To Be Determined - Use Real Boundary Data,enhanced_template,"Real tract GEOID, placeholder council assignment - requires boundary overlay"
22033004024,"Census Tract 40.24, East Baton Rouge Parish, Louisiana",TBD,To Be Determined - Use Real Boundary Data,enhanced_template,"Real tract GEOID, placeholder council assignment - requires boundary overlay"
22033003400,"Census Tract 34, East Baton Rouge Parish, Louisiana",TBD,To Be Determined - Use Real Boundary Data,enhanced_template,"Real tract GEOID, placeholder council assignment - requires boundary overlay"
22033003702,"Census Tract 37.02, East Baton Rouge Parish, Louisiana",TBD,To Be Determined - Use Real Boundary Data,enhanced_template,"Real tract GEOID, placeholder council assignment - requires boundary overlay"
22033002200,"Census Tract 22, East Baton Rouge Parish, Louisiana",TBD,To Be Determined - Use Real Boundary Data,enhanced_template,"Real tract GEOID, placeholder council assignment - requires boundary overlay"
22033000200,"Census Tract 2, East Baton Rouge Parish, Louisiana",TBD,To Be Determined - Use Real Boundary Data,enhanced_template,"Real tract GEOID, placeholder council assignment - requires boundary overlay"
